# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.79
2                       1.79
4                       1.78
8                       1.64
16                      1.59
32                      1.62
64                      1.77
128                     2.77
256                     3.11
512                     3.52
1024                    4.28
2048                    5.90
4096                    8.13
8192                   12.64
16384                  15.72
32768                  24.50
65536                  40.17
131072                 70.49
262144                131.60
524288                253.59
1048576               497.75
