# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.78
2                       1.77
4                       1.70
8                       1.67
16                      1.58
32                      1.65
64                      1.77
128                     3.08
256                     3.39
512                     3.71
1024                    4.46
2048                    6.11
4096                    8.40
8192                   12.86
16384                  15.57
32768                  23.79
65536                  40.17
131072                 70.41
262144                131.02
524288                253.01
1048576               497.66
