# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.50
2                       1.50
4                       1.50
8                       1.52
16                      1.48
32                      1.39
64                      1.52
128                     2.49
256                     2.77
512                     3.18
1024                    3.90
2048                    5.52
4096                    7.75
8192                   12.25
16384                  14.51
32768                  22.85
65536                  39.26
131072                 69.63
262144                130.03
524288                251.82
1048576               495.87
