# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       2.86
2                       2.76
4                       2.61
8                       2.72
16                      2.73
32                      2.74
64                      2.72
128                     3.27
256                     3.44
512                     3.89
1024                    4.72
2048                    5.77
4096                    7.87
8192                   12.29
16384                  26.00
32768                  43.29
65536                  75.78
131072                118.02
262144                201.40
524288                407.94
1048576              1119.60
