# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       2.84
2                       2.85
4                       2.64
8                       2.74
16                      2.62
32                      2.76
64                      2.81
128                     3.22
256                     3.44
512                     3.86
1024                    4.71
2048                    5.82
4096                    7.78
8192                   12.22
16384                  26.04
32768                  43.26
65536                  75.82
131072                117.92
262144                200.10
524288                407.25
1048576              1093.88
