# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.41
2                       1.41
4                       1.37
8                       1.39
16                      1.41
32                      1.43
64                      1.59
128                     2.79
256                     3.18
512                     3.65
1024                    4.43
2048                    6.06
4096                    8.39
8192                   13.04
16384                  15.30
32768                  24.44
65536                  41.15
131072                 73.07
262144                136.62
524288                264.07
1048576               520.15
