# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.48
2                       1.49
4                       1.49
8                       1.51
16                      1.47
32                      1.39
64                      1.52
128                     2.74
256                     3.14
512                     3.62
1024                    4.33
2048                    5.95
4096                    8.14
8192                   12.76
16384                  14.96
32768                  24.06
65536                  40.42
131072                 71.83
262144                135.58
524288                263.13
1048576               519.01
