# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.43
2                       1.43
4                       1.45
8                       1.45
16                      1.44
32                      1.40
64                      1.48
128                     2.72
256                     3.01
512                     3.48
1024                    4.12
2048                    5.77
4096                    7.97
8192                   12.52
16384                  14.40
32768                  23.18
65536                  38.61
131072                 69.24
262144                130.81
524288                251.82
1048576               496.52
