# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.38
2                       1.40
4                       1.31
8                       1.35
16                      1.36
32                      1.37
64                      1.51
128                     2.78
256                     3.14
512                     3.62
1024                    4.21
2048                    5.80
4096                    8.18
8192                   12.77
16384                  15.21
32768                  24.32
65536                  40.20
131072                 72.05
262144                135.85
524288                263.72
1048576               519.02
