# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.37
2                       1.38
4                       1.38
8                       1.39
16                      1.39
32                      1.38
64                      1.47
128                     2.73
256                     3.01
512                     3.42
1024                    4.16
2048                    5.87
4096                    8.04
8192                   12.52
16384                  14.54
32768                  22.97
65536                  38.88
131072                 69.10
262144                130.26
524288                252.46
1048576               497.53
