# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.59
2                       1.56
4                       1.56
8                       1.58
16                      1.60
32                      1.63
64                      1.80
128                     3.06
256                     3.37
512                     3.72
1024                    4.46
2048                    6.07
4096                    8.33
8192                   12.87
16384                  15.61
32768                  24.20
65536                  39.75
131072                 70.61
262144                131.02
524288                252.92
1048576               496.97
