# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.38
2                       1.37
4                       1.38
8                       1.42
16                      1.42
32                      1.43
64                      1.59
128                     2.87
256                     3.22
512                     3.74
1024                    4.53
2048                    6.23
4096                    8.23
8192                   12.72
16384                  14.98
32768                  23.70
65536                  39.86
131072                 70.30
262144                131.06
524288                252.67
1048576               497.77
