# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.52
2                       1.48
4                       1.50
8                       1.39
16                      1.37
32                      1.40
64                      1.56
128                     2.55
256                     2.88
512                     3.39
1024                    4.14
2048                    5.78
4096                    7.96
8192                   12.46
16384                  14.97
32768                  23.56
65536                  40.08
131072                 69.77
262144                130.97
524288                252.42
1048576               497.88
