# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.75
2                       1.76
4                       1.70
8                       1.66
16                      1.62
32                      1.63
64                      1.76
128                     3.04
256                     3.38
512                     3.79
1024                    4.54
2048                    6.13
4096                    8.38
8192                   12.89
16384                  15.42
32768                  23.63
65536                  39.21
131072                 70.09
262144                131.18
524288                253.03
1048576               497.77
