# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.48
2                       1.47
4                       1.47
8                       1.49
16                      1.47
32                      1.40
64                      1.52
128                     2.75
256                     3.08
512                     3.62
1024                    4.38
2048                    5.93
4096                    8.16
8192                   12.76
16384                  14.75
32768                  23.91
65536                  40.37
131072                 72.34
262144                136.16
524288                263.07
1048576               518.69
