# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.46
2                       1.36
4                       1.32
8                       1.35
16                      1.35
32                      1.40
64                      1.52
128                     2.92
256                     3.25
512                     3.67
1024                    4.46
2048                    6.18
4096                    8.35
8192                   12.91
16384                  14.79
32768                  22.80
65536                  39.00
131072                 69.08
262144                130.28
524288                252.36
1048576               496.51
