# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                      17.81
2                      17.98
4                      18.30
8                      18.55
16                     23.21
32                     26.22
64                     29.74
128                    37.97
256                   101.04
512                   107.51
1024                  127.81
2048                  184.26
4096                  325.12
8192                  520.19
16384                1044.54
32768                2032.05
65536                3523.07
131072               6991.77
262144              13842.75
524288              26167.52
1048576             51959.55
