# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.47
2                       1.49
4                       1.47
8                       1.48
16                      1.44
32                      1.43
64                      1.50
128                     2.79
256                     3.13
512                     3.54
1024                    4.32
2048                    5.84
4096                    8.07
8192                   12.61
16384                  14.68
32768                  23.13
65536                  39.18
131072                 69.73
262144                130.56
524288                253.08
1048576               496.53
